name,cpu_score
0,aarch64,833.0
1,aarch64 rev 2 (aarch64),2391.0
2,aarch64 rev 4 (aarch64),1813.0
3,ac8257v/wab,788.0
4,ac8259v/wab,910.0
5,allwinner a133,673.0
6,allwinner a523,1892.0
7,allwinner a527,2297.0
8,allwinner h618,623.0
9,allwinner h728,1940.0
10,amd 3015ce,2099.0
11,amd 3015e,2712.0
12,amd 3020e,2439.0
13,amd 4700s,17860.0
14,amd a10 micro 6700t apu,1426.0
15,amd a10 pro 7350b apu,1915.0
16,amd a10 pro 7800b apu,3302.0
17,amd a10 pro 7850b apu,3459.0
18,amd a10 4600m apu,1938.0
19,amd a10 4655m apu,1658.0
20,amd a10 4657m apu,1759.0
21,amd a10 5700 apu,2741.0
22,amd a10 5745m apu,1782.0
23,amd a10 5750m apu,2050.0
24,amd a10 5757m apu,1998.0
25,amd a10 5800b apu,3034.0
26,amd a10 5800k apu,2961.0
27,amd a10 6700 apu,3104.0
28,amd a10 6700t apu,2299.0
29,amd a10 6790k apu,3081.0
30,amd a10 6800b apu,3106.0
31,amd a10 6800k apu,3193.0
32,amd a10 7300 apu,1742.0
33,amd a10 7400p,2100.0
34,amd a10 7700k apu,3203.0
35,amd a10 7800 apu,3206.0
36,amd a10 7850k apu,3392.0
37,amd a10 7860k,3282.0
38,amd a10 7870k,3465.0
39,amd a10 7890k,3533.0
40,amd a10 8700p,2245.0
41,amd a10 8750,3228.0
42,amd a10 8850,3438.0
43,amd a10 9600p,2333.0
44,amd a10 9620p,2535.0
45,amd a10 9630p,2909.0
46,amd a10 9700,3546.0
47,amd a10 9700e,3229.0
48,amd a12 9700p,2428.0
49,amd a12 9720p,2656.0
50,amd a12 9730p,2980.0
51,amd a12 9800,3611.0
52,amd a12 9800e,3471.0
53,amd a4 micro 6400t apu,1082.0
54,amd a4 pro 3340b,1645.0
55,amd a4 pro 7300b apu,1458.0
56,amd a4 pro 7350b,1544.0
57,amd a4 1200 apu,369.0
58,amd a4 1250 apu,406.0
59,amd a4 1350 apu,911.0
60,amd a4 3300 apu,942.0
61,amd a4 3300m apu,714.0
62,amd a4 3305m apu,751.0
63,amd a4 3310mx apu,782.0
64,amd a4 3320m apu,668.0
65,amd a4 3330mx apu,756.0
66,amd a4 3400 apu,1086.0
67,amd a4 3420 apu,1054.0
68,amd a4 4000 apu,1145.0
69,amd a4 4020 apu,1268.0
70,amd a4 4300m apu,1000.0
71,amd a4 4355m apu,806.0
72,amd a4 5000 apu,1297.0
73,amd a4 5050 apu,1328.0
74,amd a4 5100 apu,1346.0
75,amd a4 5150m apu,765.0
76,amd a4 5300 apu,1357.0
77,amd a4 5300b apu,1243.0
78,amd a4 6210 apu,1503.0
79,amd a4 6250j apu,1671.0
80,amd a4 6300 apu,1426.0
81,amd a4 6300b apu,1328.0
82,amd a4 6320 apu,1530.0
83,amd a4 7210 apu,1656.0
84,amd a4 7300 apu,1529.0
85,amd a4 9120,1217.0
86,amd a4 9120c,850.0
87,amd a4 9120e,851.0
88,amd a4 9125,1211.0
89,amd a6 micro 6500t apu,1146.0
90,amd a6 pro 7050b apu,1009.0
91,amd a6 pro 7400b,1640.0
92,amd a6 1450 apu,1072.0
93,amd a6 3400m apu,1191.0
94,amd a6 3410mx apu,1263.0
95,amd a6 3420m apu,1294.0
96,amd a6 3430mx apu,1448.0
97,amd a6 3500 apu,1420.0
98,amd a6 3600 apu,1697.0
99,amd a6 3620 apu,1848.0
100,amd a6 3650 apu,2070.0
101,amd a6 3670 apu,2174.0
102,amd a6 4400m apu,1010.0
103,amd a6 4455m apu,793.0
104,amd a6 5200 apu,1663.0
105,amd a6 5345m apu,1122.0
106,amd a6 5350m apu,1221.0
107,amd a6 5357m apu,1165.0
108,amd a6 5400b apu,1459.0
109,amd a6 5400k apu,1275.0
110,amd a6 6310 apu,1673.0
111,amd a6 6400b apu,1616.0
112,amd a6 6400k apu,1504.0
113,amd a6 6420b apu,1550.0
114,amd a6 6420k apu,1576.0
115,amd a6 7000,1010.0
116,amd a6 7310 apu,1724.0
117,amd a6 7400k apu,1631.0
118,amd a6 7470k,1799.0
119,amd a6 7480,1836.0
120,amd a6 8500p,1445.0
121,amd a6 8550,1604.0
122,amd a6 9200,1116.0
123,amd a6 9210,1230.0
124,amd a6 9220,1283.0
125,amd a6 9220c,1053.0
126,amd a6 9220e,977.0
127,amd a6 9225,1331.0
128,amd a6 9230,1303.0
129,amd a6 9400,2717.0
130,amd a6 9500,1869.0
131,amd a6 9500e,1756.0
132,amd a8 pro 7150b apu,1528.0
133,amd a8 pro 7600b apu,2960.0
134,amd a8 3500m apu,1400.0
135,amd a8 3510mx apu,1631.0
136,amd a8 3520m apu,1448.0
137,amd a8 3530mx apu,1608.0
138,amd a8 3550mx apu,1687.0
139,amd a8 3800 apu,2049.0
140,amd a8 3820 apu,2174.0
141,amd a8 3850 apu,2374.0
142,amd a8 3870k apu,2321.0
143,amd a8 4500m apu,1689.0
144,amd a8 4555m apu,1331.0
145,amd a8 5500 apu,2607.0
146,amd a8 5500b apu,2609.0
147,amd a8 5545m apu,1567.0
148,amd a8 5550m apu,1869.0
149,amd a8 5557m apu,1801.0
150,amd a8 5600k apu,2857.0
151,amd a8 6410 apu,1772.0
152,amd a8 6500 apu,2821.0
153,amd a8 6500b apu,2894.0
154,amd a8 6500t apu,1929.0
155,amd a8 6600k apu,3007.0
156,amd a8 7050,1152.0
157,amd a8 7100 apu,1638.0
158,amd a8 7200p,2154.0
159,amd a8 7410 apu,1815.0
160,amd a8 7500,3422.0
161,amd a8 7600 apu,3218.0
162,amd a8 7650k,3123.0
163,amd a8 7670k,3192.0
164,amd a8 7680,3544.0
165,amd a8 7690k,2157.0
166,amd a8 8600p,2464.0
167,amd a8 8650,2996.0
