name,score
0,AArch64,833.0
1,AArch64 rev 2 (aarch64),2391.0
2,AArch64 rev 4 (aarch64),1813.0
3,AC8257V/WAB,788.0
4,AC8259V/WAB,910.0
5,Allwinner A133,673.0
6,Allwinner A523,1892.0
7,Allwinner A527,2297.0
8,Allwinner H618,623.0
9,Allwinner h728,1940.0
10,AMD 3015Ce,2099.0
11,AMD 3015e,2712.0
12,AMD 3020e,2439.0
13,AMD 4700S,17860.0
14,AMD A10 Micro-6700T APU,1426.0
15,AMD A10 PRO-7350B APU,1915.0
16,AMD A10 PRO-7800B APU,3302.0
17,AMD A10 PRO-7850B APU,3459.0
18,AMD A10-4600M APU,1938.0
19,AMD A10-4655M APU,1658.0
20,AMD A10-4657M APU,1759.0
21,AMD A10-5700 APU,2741.0
22,AMD A10-5745M APU,1782.0
23,AMD A10-5750M APU,2050.0
24,AMD A10-5757M APU,1998.0
25,AMD A10-5800B APU,3034.0
26,AMD A10-5800K APU,2961.0
27,AMD A10-6700 APU,3104.0
28,AMD A10-6700T APU,2299.0
29,AMD A10-6790K APU,3081.0
30,AMD A10-6800B APU,3106.0
31,AMD A10-6800K APU,3193.0
32,AMD A10-7300 APU,1742.0
33,AMD A10-7400P,2100.0
34,AMD A10-7700K APU,3203.0
35,AMD A10-7800 APU,3206.0
36,AMD A10-7850K APU,3392.0
37,AMD A10-7860K,3282.0
38,AMD A10-7870K,3465.0
39,AMD A10-7890K,3533.0
40,AMD A10-8700P,2245.0
41,AMD A10-8750,3228.0
42,AMD A10-8850,3438.0
43,AMD A10-9600P,2333.0
44,AMD A10-9620P,2535.0
45,AMD A10-9630P,2909.0
46,AMD A10-9700,3546.0
47,AMD A10-9700E,3229.0
48,AMD A12-9700P,2428.0
49,AMD A12-9720P,2656.0
50,AMD A12-9730P,2980.0
51,AMD A12-9800,3611.0
52,AMD A12-9800E,3471.0
53,AMD A4 Micro-6400T APU,1082.0
54,AMD A4 PRO-3340B,1645.0
55,AMD A4 PRO-7300B APU,1458.0
56,AMD A4 PRO-7350B,1544.0
57,AMD A4-1200 APU,369.0
58,AMD A4-1250 APU,406.0
59,AMD A4-1350 APU,911.0
60,AMD A4-3300 APU,942.0
61,AMD A4-3300M APU,714.0
62,AMD A4-3305M APU,751.0
63,AMD A4-3310MX APU,782.0
64,AMD A4-3320M APU,668.0
65,AMD A4-3330MX APU,756.0
66,AMD A4-3400 APU,1086.0
67,AMD A4-3420 APU,1054.0
68,AMD A4-4000 APU,1145.0
69,AMD A4-4020 APU,1268.0
70,AMD A4-4300M APU,1000.0
71,AMD A4-4355M APU,806.0
72,AMD A4-5000 APU,1297.0
73,AMD A4-5050 APU,1328.0
74,AMD A4-5100 APU,1346.0
75,AMD A4-5150M APU,765.0
76,AMD A4-5300 APU,1357.0
77,AMD A4-5300B APU,1243.0
78,AMD A4-6210 APU,1503.0
79,AMD A4-6250J APU,1671.0
80,AMD A4-6300 APU,1426.0
81,AMD A4-6300B APU,1328.0
82,AMD A4-6320 APU,1530.0
83,AMD A4-7210 APU,1656.0
84,AMD A4-7300 APU,1529.0
85,AMD A4-9120,1217.0
86,AMD A4-9120C,850.0
87,AMD A4-9120e,851.0
88,AMD A4-9125,1211.0
89,AMD A6 Micro-6500T APU,1146.0
90,AMD A6 PRO-7050B APU,1009.0
91,AMD A6 PRO-7400B,1640.0
92,AMD A6-1450 APU,1072.0
93,AMD A6-3400M APU,1191.0
94,AMD A6-3410MX APU,1263.0
95,AMD A6-3420M APU,1294.0
96,AMD A6-3430MX APU,1448.0
97,AMD A6-3500 APU,1420.0
98,AMD A6-3600 APU,1697.0
99,AMD A6-3620 APU,1848.0
100,AMD A6-3650 APU,2070.0
101,AMD A6-3670 APU,2174.0
102,AMD A6-4400M APU,1010.0
103,AMD A6-4455M APU,793.0
104,AMD A6-5200 APU,1663.0
105,AMD A6-5345M APU,1122.0
106,AMD A6-5350M APU,1221.0
107,AMD A6-5357M APU,1165.0
108,AMD A6-5400B APU,1459.0
109,AMD A6-5400K APU,1275.0
110,AMD A6-6310 APU,1673.0
111,AMD A6-6400B APU,1616.0
112,AMD A6-6400K APU,1504.0
113,AMD A6-6420B APU,1550.0
114,AMD A6-6420K APU,1576.0
115,AMD A6-7000,1010.0
116,AMD A6-7310 APU,1724.0
117,AMD A6-7400K APU,1631.0
118,AMD A6-7470K,1799.0
119,AMD A6-7480,1836.0
120,AMD A6-8500P,1445.0
121,AMD A6-8550,1604.0
122,AMD A6-9200,1116.0
123,AMD A6-9210,1230.0
124,AMD A6-9220,1283.0
125,AMD A6-9220C,1053.0
126,AMD A6-9220e,977.0
127,AMD A6-9225,1331.0
128,AMD A6-9230,1303.0
129,AMD A6-9400,2717.0
130,AMD A6-9500,1869.0
131,AMD A6-9500E,1756.0
132,AMD A8 PRO-7150B APU,1528.0
133,AMD A8 PRO-7600B APU,2960.0
134,AMD A8-3500M APU,1400.0
135,AMD A8-3510MX APU,1631.0
136,AMD A8-3520M APU,1448.0
137,AMD A8-3530MX APU,1608.0
138,AMD A8-3550MX APU,1687.0
139,AMD A8-3800 APU,2049.0
140,AMD A8-3820 APU,2174.0
141,AMD A8-3850 APU,2374.0
142,AMD A8-3870K APU,2321.0
143,AMD A8-4500M APU,1689.0
144,AMD A8-4555M APU,1331.0
145,AMD A8-5500 APU,2607.0
146,AMD A8-5500B APU,2609.0
147,AMD A8-5545M APU,1567.0
148,AMD A8-5550M APU,1869.0
149,AMD A8-5557M APU,1801.0
150,AMD A8-5600K APU,2857.0
151,AMD A8-6410 APU,1772.0
152,AMD A8-6500 APU,2821.0
153,AMD A8-6500B APU,2894.0
154,AMD A8-6500T APU,1929.0
155,AMD A8-6600K APU,3007.0
156,AMD A8-7050,1152.0
157,AMD A8-7100 APU,1638.0
